time_utc,elapsed_ms,phase,calibration_motor,m1_actual_speed_raw_d10,m2_actual_speed_raw_d10,m1_actual_rpm,m2_actual_rpm,m1_current_a,m2_current_a,m1_status,m2_status,m1_error,m2_error,m1_online,m2_online,m1_stale,m2_stale,m1_control_command,m2_control_command,m1_given_rpm,m2_given_rpm,m1_hall_calibration_status,m2_hall_calibration_status,m1_hall_state,m2_hall_state,m1_hall_angle_deg,m2_hall_angle_deg,read_errors
2026-07-21T05:19:58.064375+00:00,134,baseline,2,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,345,0,43,329,
2026-07-21T05:19:58.230206+00:00,299,calibrating,2,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,345,0,43,329,
2026-07-21T05:19:58.520552+00:00,590,calibrating,2,0,0,0.0,0.0,0.0,0.2,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,0,43,329,
2026-07-21T05:19:58.798334+00:00,868,calibrating,2,0,0,0.0,0.0,0.0,0.1,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,0,43,329,
2026-07-21T05:19:59.102510+00:00,1172,calibrating,2,0,0,0.0,0.0,0.0,0.1,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,0,43,329,
2026-07-21T05:19:59.572115+00:00,1641,calibrating,2,0,5,0.0,0.5,0.0,-3.2,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,40,43,83,
2026-07-21T05:19:59.841795+00:00,1911,calibrating,2,0,5,0.0,0.5,0.0,-3.2,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,279,43,352,
2026-07-21T05:20:00.105872+00:00,2175,calibrating,2,0,5,0.0,0.5,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,220,43,256,
2026-07-21T05:20:00.371818+00:00,2441,calibrating,2,0,5,0.0,0.5,0.0,-2.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,99,43,154,
2026-07-21T05:20:00.660520+00:00,2730,calibrating,2,0,6,0.0,0.6,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,40,43,86,
2026-07-21T05:20:00.953400+00:00,3023,calibrating,2,0,6,0.0,0.6,0.0,-2.8,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,343,43,17,
2026-07-21T05:20:01.274203+00:00,3343,calibrating,2,0,6,0.0,0.6,0.0,-3.6,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,279,43,340,
2026-07-21T05:20:01.580315+00:00,3649,calibrating,2,0,5,0.0,0.5,0.0,-3.0,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,220,43,284,
2026-07-21T05:20:01.864177+00:00,3933,calibrating,2,0,5,0.0,0.5,0.0,-2.6,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,162,43,209,
2026-07-21T05:20:02.135704+00:00,4205,calibrating,2,0,6,0.0,0.6,0.0,-3.4,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,99,43,118,
2026-07-21T05:20:02.409466+00:00,4479,calibrating,2,0,5,0.0,0.5,0.0,-3.3,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,343,43,36,
2026-07-21T05:20:02.871357+00:00,4941,calibrating,2,0,6,0.0,0.6,0.0,0.3,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,343,43,40,
2026-07-21T05:20:03.142280+00:00,5211,calibrating,2,0,0,0.0,0.0,0.0,0.0,0,1,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,1,345,343,43,40,
2026-07-21T05:20:03.475180+00:00,5544,calibrating,2,0,-2,0.0,-0.2,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,2,345,343,43,329,
2026-07-21T05:20:06.266960+00:00,8336,final,2,0,0,0.0,0.0,0.0,-0.1,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,2,345,343,43,278,
