time_utc,elapsed_ms,phase,calibration_motor,m1_actual_speed_raw_d10,m2_actual_speed_raw_d10,m1_actual_rpm,m2_actual_rpm,m1_current_a,m2_current_a,m1_status,m2_status,m1_error,m2_error,m1_online,m2_online,m1_stale,m2_stale,m1_control_command,m2_control_command,m1_given_rpm,m2_given_rpm,m1_hall_calibration_status,m2_hall_calibration_status,m1_hall_state,m2_hall_state,m1_hall_angle_deg,m2_hall_angle_deg,read_errors
2026-07-21T05:42:32.651480+00:00,505,baseline,1,0,0,0.0,0.0,-0.2,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,0,0,0,0,269,89,
2026-07-21T05:42:33.006534+00:00,860,calibrating,1,0,0,0.0,0.0,-0.1,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,344,0,345,89,
2026-07-21T05:42:33.482419+00:00,1336,calibrating,1,0,0,0.0,0.0,-0.2,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,344,0,353,89,
2026-07-21T05:42:33.945455+00:00,1799,calibrating,1,0,0,0.0,0.0,-3.7,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,222,0,261,89,
2026-07-21T05:42:34.422935+00:00,2276,calibrating,1,5,0,0.5,0.0,-3.7,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,281,0,15,89,
2026-07-21T05:42:34.907080+00:00,2760,calibrating,1,5,0,0.5,0.0,-3.6,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,42,0,136,89,
2026-07-21T05:42:35.374717+00:00,3228,calibrating,1,5,0,0.5,0.0,-2.8,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,162,0,249,89,
2026-07-21T05:42:35.973392+00:00,3827,calibrating,1,6,0,0.6,0.0,-2.7,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,42,0,117,89,
2026-07-21T05:42:36.429895+00:00,4283,calibrating,1,5,0,0.5,0.0,-3.2,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,162,0,222,89,
2026-07-21T05:42:36.920651+00:00,4774,calibrating,1,5,0,0.5,0.0,-3.9,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,281,0,348,89,
2026-07-21T05:42:37.422408+00:00,5276,calibrating,1,6,0,0.6,0.0,-0.1,0.0,1,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,1,0,344,0,42,89,
2026-07-21T05:42:37.859673+00:00,5713,calibrating,1,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,344,0,42,89,
2026-07-21T05:42:40.667573+00:00,8521,final,1,0,0,0.0,0.0,0.0,0.0,0,0,0x00000000,0x00000000,1,1,0,0,0,0,0,0,2,0,344,0,42,89,
